Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
0.7842,0.0000,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9412
1.1203,0.1846,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,2.7526
14.6391,0.0000,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9713
4.4279,0.4438,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0645,0.6433,14.4507
16.2408,0.1664,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,2.7811,3.3333,0.0000,29.7591
4.4189,0.4443,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0635,0.6329,14.4007
1.0752,0.4379,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0160,0.1590,3.9408
1.6106,0.4398,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0307,0.3063,6.0011
16.2408,0.1664,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,2.7811,3.3333,0.0000,29.7591
10.0243,0.4313,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,7.2098,8.6413,0.0000,161.1631
10.0243,0.4313,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,7.2098,8.6413,0.0000,161.1631
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.8058,0.3959,6.6829,0.0000,0.0000,0.0000,0.0000,0.0000,6.6829,4.1474,0.0000,0.3224,0.0000,13.5620
4.4189,0.4443,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0635,0.6329,14.4007
3.0078,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-14.3083
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-25.7706
0.8302,0.0000,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8127
1.1203,0.3955,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,2.7526
0.7842,0.0000,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9412
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000,-111111.0000
3.3368,0.6763,4.3814,0.6266,0.0000,0.0000,2.8287,0.0000,0.9261,0.0000,2.9324,3.5147,0.0000,21.0517
6.4935,0.4095,6.5384,0.0000,0.0000,0.0000,0.0000,0.0000,6.5384,4.2939,0.0000,0.0000,0.0000,0.8267
9.1764,0.4113,6.5190,0.0000,0.0000,0.0000,0.0000,0.0000,6.5190,4.3136,0.0000,0.0000,0.0000,113.3544
8.6190,0.3475,7.1940,0.0000,0.0000,0.0000,0.0000,0.0000,7.1940,3.6290,0.0000,0.0000,0.0000,119.5658
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.0243,0.4313,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,7.2098,8.6413,0.0000,161.1631
9.1764,0.4113,6.5190,0.0000,0.0000,0.0000,0.0000,0.0000,6.5190,4.3136,0.0000,0.0000,0.0000,90.4168
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-2.0178
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-25.7706
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-2.0178
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-2.0178
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-2.0178
6.4935,0.4095,6.5384,0.0000,0.0000,0.0000,0.0000,0.0000,6.5384,4.2939,0.0000,0.0000,0.0000,15.2439
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-2.0178
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
1.9532,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,-0.2447
